UF,PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon
PA,850314/2025,3D MINERALS LTDA,MINÉRIO DE NÍQUEL,AUTORIZAÇÃO DE PESQUISA,9492.88,2847 - REQ PESQ/RECURSO NEGADO-SUPERINTENDENTE PUBL EM 02/06/2026,-7.3755,-50.4046
GO,861621/2024,3D MINERALS LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,994.72,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.48,-50.0543
GO,861635/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1861.01,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-15.0273,-49.7818
GO,861831/2024,3D MINERALS LTDA,OURO,AUTORIZAÇÃO DE PESQUISA,1798.74,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-14.8935,-49.645
GO,861836/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,434.86,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-14.9427,-49.712
GO,861579/2024,3D MINERALS LTDA,FOSFATO,AUTORIZAÇÃO DE PESQUISA,970.53,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-16.1022,-51.2724
GO,861642/2024,3D MINERALS LTDA,MINÉRIO DE NÍQUEL,AUTORIZAÇÃO DE PESQUISA,1588.73,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-16.0979,-51.3131
GO,861618/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1937.14,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/01/2026,-14.963,-49.7555
GO,861830/2024,3D MINERALS LTDA,OURO,AUTORIZAÇÃO DE PESQUISA,1133.05,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.9925,-49.6985
GO,861716/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1505.33,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.9282,-49.7879
