dist_km,NOME,SUBS,FASE,AREA_HA,PROCESSO,lat,lon
7.4,Recursos Minerais do Brasil S.a,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,548.31,830505/2010,-20.4235,-43.5592
7.4,HG MINERACAO S/A,MINÉRIO DE FERRO,DIREITO DE REQUERER A LAVRA,3.39,831026/2019,-20.3712,-43.5817
7.4,RICARDO NORBERTO RIBEIRO,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,150.49,833166/2004,-20.4865,-43.6274
7.5,KARINA ALMEIDA DO AMARAL,ÁGUA MINERAL,AUTORIZAÇÃO DE PESQUISA,1.76,830713/2007,-20.3794,-43.5726
7.5,Mineração Granduvale Ltda,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,320.46,830988/2005,-20.4157,-43.7024
7.5,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,0.78,300852/2025,-20.4281,-43.7014
7.6,THIAGO DE CASTRO SOUSA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,213.07,833577/2007,-20.3854,-43.6927
7.6,PRADHA PARTICIPACOES LTDA,MINÉRIO DE FERRO,CONCESSÃO DE LAVRA,34.1,433094/1956,-20.3715,-43.5784
7.7,"Brasroma Mineração, Comércio e Indústria Ltda",MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,388.75,832086/2003,-20.4251,-43.5565
7.7,Mineração Monte Verde Ltda.,ESTEATITO,AUTORIZAÇÃO DE PESQUISA,97.8,831684/2001,-20.4865,-43.6088
7.7,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,337.91,300707/2021,-20.4866,-43.6501
7.8,José Francisco Pereira da Silva de Pádua,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,31.35,830929/2009,-20.3496,-43.6234
7.8,CBRT PARTICIPACOES LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,3.16,830398/2022,-20.3844,-43.5652
